Region,Nuevos Casos,Casos Totales,% Casos totales,Fallecidos,Recuperados,Dates
Arica y Parinacota,0,2,0,0,0,23-03-2020
Tarapacá,1,1,0,0,0,23-03-2020
Antofagasta,0,11,0,0,0,23-03-2020
Atacama,0,1,0,0,0,23-03-2020
Coquimbo,1,6,0,0,0,23-03-2020
Valparaíso,3,19,0,0,0,23-03-2020
Metropolitana,50,459,0,1,0,23-03-2020
O’Higgins,0,8,0,0,0,23-03-2020
Maule,3,28,0,0,0,23-03-2020
Ñuble,17,81,0,0,0,23-03-2020
Biobío,11,46,0,0,0,23-03-2020
Araucanía,13,40,0,0,0,23-03-2020
Los Ríos,3,4,0,0,0,23-03-2020
Los Lagos,10,33,0,0,0,23-03-2020
Aysén,0,1,0,0,0,23-03-2020
Magallanes,2,6,0,0,0,23-03-2020
Total,114,746,0,1,11,23-03-2020
